     1     1 -96.221988658368474
     1     2  19.300357172088024
     1     3  -9.360159348747901
     1    10  -2.330524808799689
     1    13  -2.330524808799689
     1    15  -2.330524808799689
     2     1  19.300357172088020
     2     2  -8.372768030449080
     2     3  -3.884739182178993
     2    10  -4.581471266907169
     2    13  -4.581471266907169
     2    15  -4.581471266907169
     3     1  -9.360159348747901
     3     2  -3.884739182178993
     3     3 -11.134992899248301
     3    10  -7.883861592696010
     3    13  -7.883861592696010
     3    15  -7.883861592696010
     4     4  -9.176628048862675
     4     7  -4.083621846490360
     5     5  -9.176628048862675
     5     8  -4.083621846490360
     6     6  -9.176628048862675
     6     9  -4.083621846490360
     7     4  -4.083621846490360
     7     7  -6.989881648733688
     8     5  -4.083621846490360
     8     8  -6.989881648733688
     9     6  -4.083621846490360
     9     9  -6.989881648733688
    10     1  -2.330524808799689
    10     2  -4.581471266907169
    10     3  -7.883861592696010
    10    10 -12.629246570663296
    10    13  -4.209748856887765
    10    15  -4.209748856887765
    11    11 -12.629246570663296
    12    12 -12.629246570663296
    13     1  -2.330524808799689
    13     2  -4.581471266907169
    13     3  -7.883861592696010
    13    10  -4.209748856887765
    13    13 -12.629246570663296
    13    15  -4.209748856887765
    14    14 -12.629246570663296
    15     1  -2.330524808799689
    15     2  -4.581471266907169
    15     3  -7.883861592696010
    15    10  -4.209748856887765
    15    13  -4.209748856887765
    15    15 -12.629246570663296
